gene_family,presence_count,category,annotation
COG2265,9.0,common,Catalyzes the formation of 5-methyl-uridine at position 1939 (m5U1939) in 23S rRNA
COG0727,9.0,common,PFAM Uncharacterised protein family (UPF0153)
COG0493,9.0,common,"2 iron, 2 sulfur cluster binding"
COG2137,9.0,common,regulation of DNA repair
2AT6R,9.0,common,-
COG2911,9.0,common,Pathogenicity protein
COG0327,9.0,common,NIF3 (NGG1p interacting factor 3)
COG0243,9.0,common,Molydopterin dinucleotide binding domain
COG0437,9.0,common,"Formate dehydrogenase N, transmembrane"
COG0514,9.0,common,DNA helicase
COG0225,9.0,common,Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine
COG2010,9.0,common,"Cytochrome c, mono-and diheme variants family"
COG0136,9.0,common,Catalyzes the NADPH-dependent formation of L-aspartate- semialdehyde (L-ASA) by the reductive dephosphorylation of L- aspartyl-4-phosphate
COG1048,9.0,common,Catalyzes the isomerization of citrate to isocitrate via cis-aconitate
COG0811,9.0,common,Biopolymer
COG0848,9.0,common,Biopolymer
COG1283,9.0,common,Na+/Pi-cotransporter
COG4974,9.0,common,Tyrosine recombinase xerD
COG1694,9.0,common,Nucleoside triphosphate
COG1570,9.0,common,"Bidirectionally degrades single-stranded DNA into large acid-insoluble oligonucleotides, which are then degraded further into small acid-soluble oligonucleotides"
COG0745,9.0,common,response regulator
COG0500,9.0,common,Methyltransferase domain
COG4221,9.0,common,Belongs to the short-chain dehydrogenases reductases (SDR) family
COG2227,9.0,common,Tellurite resistance protein TehB
COG3187,9.0,common,META domain
COG3585,9.0,common,TOBE domain protein
COG2873,9.0,common,O-acetylhomoserine
COG1055,9.0,common,Involved in arsenical resistance. Thought to form the channel of an arsenite pump
COG0061,9.0,common,"Involved in the regulation of the intracellular balance of NAD and NADP, and is a key enzyme in the biosynthesis of NADP. Catalyzes specifically the phosphorylation on 2'-hydroxyl of the adenosine moiety of NAD to yield NADP"
COG0446,9.0,common,L-lysine 6-monooxygenase (NADPH-requiring)
COG0064,9.0,common,GatB domain
COG0154,9.0,common,Catalyzes the hydrolysis of a monocarboxylic acid amid to form a monocarboxylate and ammonia
COG0721,9.0,common,Glu-tRNAGln amidotransferase C subunit
COG1934,9.0,common,lipopolysaccharide binding
COG1137,9.0,common,abc transporter atp-binding protein
COG2925,9.0,common,Exonucleolytic cleavage in the 3'- to 5'-direction to yield nucleoside 5'-phosphates
COG1040,9.0,common,competence protein
COG2885,9.0,common,Belongs to the ompA family
COG0697,9.0,common,EamA-like transporter family
COG0583,9.0,common,LysR substrate binding domain
COG1704,9.0,common,LemA family
COG0513,9.0,common,DEAD-box RNA helicase involved in RNA degradation. Has RNA-dependent ATPase activity and unwinds double-stranded RNA
COG1403,9.0,common,HNH endonuclease
COG2217,9.0,common,Heavy metal translocating P-type atpase
COG1473,9.0,common,Peptidase dimerisation domain
COG2076,9.0,common,Multidrug Resistance protein
COG0028,9.0,common,Belongs to the TPP enzyme family
COG1113,9.0,common,Gamma-aminobutyrate permease and related permeases
COG1292,9.0,common,Belongs to the BCCT transporter (TC 2.A.15) family
COG5295,9.0,common,YadA-like membrane anchor domain
COG0317,9.0,common,In eubacteria ppGpp (guanosine 3'-diphosphate 5-' diphosphate) is a mediator of the stringent response that coordinates a variety of cellular activities in response to changes in nutritional abundance
COG0407,9.0,common,Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III
COG1629,9.0,common,TonB-dependent receptor
COG1459,9.0,common,Type II secretory pathway
COG0124,9.0,common,Histidyl-tRNA synthetase
COG2976,9.0,common,Protein conserved in bacteria
COG1520,9.0,common,"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane"
COG1160,9.0,common,GTPase that plays an essential role in the late steps of ribosome biogenesis
COG0424,9.0,common,Maf-like protein
COG2913,9.0,common,Gram-negative-bacterium-type cell outer membrane assembly
COG0488,9.0,common,mutations in this gene affect RecA-independent excision of transposons and affects Mu bacteriophage growth
29YXB,9.0,common,-
COG0337,9.0,common,Catalyzes the conversion of 3-deoxy-D-arabino- heptulosonate 7-phosphate (DAHP) to dehydroquinate (DHQ)
COG0703,9.0,common,Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate
COG1966,9.0,common,Carbon starvation protein
COG4535,9.0,common,Transporter
COG0744,9.0,common,Cell wall formation. Synthesis of cross-linked peptidoglycan from the lipid intermediates. The enzyme has a penicillin-insensitive transglycosylase N-terminal domain (formation of linear glycan strands) and a penicillin-sensitive transpeptidase C-terminal domain (cross-linking of the peptide subunits)
COG0457,9.0,common,Tetratricopeptide repeat
COG1530,9.0,common,Endoribonuclease that plays a central role in RNA processing and decay. Required for the maturation of 5S and 16S rRNAs and the majority of tRNAs. Also involved in the degradation of most mRNAs
COG0427,9.0,common,acetyl-CoA hydrolase
COG0116,9.0,common,Specifically methylates the guanine in position 2445 (m2G2445) and the guanine in position 2069 (m7G2069) of 23S rRNA
COG2916,9.0,common,H-NS histone family
COG5316,9.0,common,Domain of unknown function (DUF4139)
28RV9,9.0,common,-
COG0508,9.0,common,acetyltransferase component of pyruvate dehydrogenase complex
2EHQ5,9.0,common,Cbb3-type cytochrome oxidase component FixQ
COG2993,9.0,common,"COG2993 Cbb3-type cytochrome oxidase, cytochrome c subunit"
COG0550,9.0,common,"Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone"
COG0169,9.0,common,"Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)"
COG0323,9.0,common,"This protein is involved in the repair of mismatches in DNA. It is required for dam-dependent methyl-directed DNA mismatch repair. May act as a molecular matchmaker , a protein that promotes the formation of a stable complex between two or more DNA-binding proteins in an ATP-dependent manner without itself being part of a final effector complex"
COG3317,9.0,common,NlpB/DapX lipoprotein
COG0329,9.0,common,Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA)
COG0708,9.0,common,exodeoxyribonuclease III
COG0174,9.0,common,highly regulated protein controlled by the addition removal of adenylyl groups by adenylyltransferase from specific tyrosine residues
COG0336,9.0,common,Belongs to the RNA methyltransferase TrmD family
COG0188,9.0,common,"A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner"
COG0402,9.0,common,Cytosine deaminase and related metal-dependent hydrolases
COG0037,9.0,common,"Catalyzes the ATP-dependent 2-thiolation of cytidine in position 32 of tRNA, to form 2-thiocytidine (s(2)C32). The sulfur atoms are provided by the cysteine cysteine desulfurase (IscS) system"
COG1028,9.0,common,Catalyzes the first of the two reduction steps in the elongation cycle of fatty acid synthesis
COG4582,9.0,common,Cell division protein
COG0237,9.0,common,Catalyzes the phosphorylation of the 3'-hydroxyl group of dephosphocoenzyme A to form coenzyme A
COG1989,9.0,common,Cleaves type-4 fimbrial leader sequence and methylates the N-terminal (generally Phe) residue
COG0511,9.0,common,"first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA"
COG1168,9.0,common,Aminotransferase class I and II
COG2195,9.0,common,Peptidase family M20/M25/M40
COG0564,9.0,common,Responsible for synthesis of pseudouridine from uracil
COG0615,9.0,common,Cytidylyltransferase-like
COG0189,9.0,common,Sugar-transfer associated ATP-grasp
COG1305,9.0,common,7 transmembrane helices usually fused to an inactive transglutaminase
COG2183,9.0,common,accessory protein
COG0764,9.0,common,"Necessary for the introduction of cis unsaturation into fatty acids. Catalyzes the dehydration of (3R)-3-hydroxydecanoyl- ACP to E-(2)-decenoyl-ACP and then its isomerization to Z-(3)- decenoyl-ACP. Can catalyze the dehydratase reaction for beta- hydroxyacyl-ACPs with saturated chain lengths up to 16 0, being most active on intermediate chain length"
COG1560,9.0,common,Catalyzes the transfer of laurate from lauroyl-acyl carrier protein (ACP) to Kdo(2)-lipid IV(A) to form Kdo(2)- (lauroyl)-lipid IV(A)
COG0454,9.0,common,FR47-like protein
COG0294,9.0,common,"Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8-dihydropteroate (H2Pte), the immediate precursor of folate derivatives"
COG3409,9.0,common,Putative peptidoglycan binding domain
COG0445,9.0,common,"NAD-binding protein involved in the addition of a carboxymethylaminomethyl (cmnm) group at the wobble position (U34) of certain tRNAs, forming tRNA-cmnm(5)s(2)U34"
COG0567,9.0,common,dehydrogenase E1 component
COG0845,9.0,common,Barrel-sandwich domain of CusB or HlyD membrane-fusion
COG0628,9.0,common,AI-2E family transporter
COG0346,9.0,common,Glyoxalase
COG2271,9.0,common,Major Facilitator Superfamily
COG0760,9.0,common,PFAM PpiC-type peptidyl-prolyl cis-trans isomerase
COG0607,9.0,common,COG0607 Rhodanese-related sulfurtransferase
COG1109,9.0,common,phosphomannomutase
COG0842,9.0,common,Transport permease protein
COG1187,9.0,common,Belongs to the pseudouridine synthase RsuA family
COG0612,9.0,common,Insulinase (Peptidase family M16)
COG0777,9.0,common,Component of the acetyl coenzyme A carboxylase (ACC) complex. Biotin carboxylase (BC) catalyzes the carboxylation of biotin on its carrier protein (BCCP) and then the CO(2) group is transferred by the transcarboxylase to acetyl-CoA to form malonyl- CoA
COG0793,9.0,common,Belongs to the peptidase S41A family
COG0163,9.0,common,Flavin prenyltransferase that catalyzes the synthesis of the prenylated FMN cofactor (prenyl-FMN) for 4-hydroxy-3- polyprenylbenzoic acid decarboxylase UbiD. The prenyltransferase is metal-independent and links a dimethylallyl moiety from dimethylallyl monophosphate (DMAP) to the flavin N5 and C6 atoms of FMN
2ATBU,9.0,common,RDD family
COG1012,9.0,common,Aldehyde dehydrogenase
COG0060,9.0,common,"amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)"
COG1376,9.0,common,"L,D-transpeptidase catalytic domain"
COG0665,9.0,common,FAD dependent oxidoreductase
COG0491,9.0,common,Zn-dependent hydrolases including glyoxylases
COG2233,9.0,common,Permease family
COG2956,9.0,common,"Modulates cellular lipopolysaccharide (LPS) levels by regulating LpxC, which is involved in lipid A biosynthesis. May act by modulating the proteolytic activity of FtsH towards LpxC. May also coordinate assembly of proteins involved in LPS synthesis at the plasma membrane"
COG1051,9.0,common,NUDIX domain
COG0597,9.0,common,This protein specifically catalyzes the removal of signal peptides from prolipoproteins
COG0288,9.0,common,Reversible hydration of carbon dioxide
COG0761,9.0,common,Catalyzes the conversion of 1-hydroxy-2-methyl-2-(E)- butenyl 4-diphosphate (HMBPP) into a mixture of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP). Acts in the terminal step of the DOXP MEP pathway for isoprenoid precursor biosynthesis
COG1171,9.0,common,"Catalyzes the anaerobic formation of alpha-ketobutyrate and ammonia from threonine in a two-step reaction. The first step involved a dehydration of threonine and a production of enamine intermediates (aminocrotonate), which tautomerizes to its imine form (iminobutyrate). Both intermediates are unstable and short- lived. The second step is the nonenzymatic hydrolysis of the enamine imine intermediates to form 2-ketobutyrate and free ammonia. In the low water environment of the cell, the second step is accelerated by RidA"
COG3172,9.0,common,Cytidylyltransferase-like
COG1502,9.0,common,Catalyzes the reversible phosphatidyl group transfer from one phosphatidylglycerol molecule to another to form cardiolipin (CL) (diphosphatidylglycerol) and glycerol
COG3218,9.0,common,ABC-type transport auxiliary lipoprotein component
COG1463,9.0,common,"ABC-type transport system involved in resistance to organic solvents, periplasmic component"
COG1127,9.0,common,ABC transporter
COG0767,9.0,common,"abc transporter, permease"
COG1525,9.0,common,Staphylococcal nuclease homologues
COG1267,9.0,common,Lipid phosphatase which dephosphorylates phosphatidylglycerophosphate (PGP) to phosphatidylglycerol (PG)
COG1949,9.0,common,3'-to-5' exoribonuclease specific for small oligoribonucleotides
COG3022,9.0,common,Peroxide stress protein YaaA
COG0671,9.0,common,PAP2 superfamily
COG0561,9.0,common,Sucrose-6F-phosphate phosphohydrolase
COG1923,9.0,common,"RNA chaperone that binds small regulatory RNA (sRNAs) and mRNAs to facilitate mRNA translational regulation in response to envelope stress, environmental stress and changes in metabolite concentrations. Also binds with high specificity to tRNAs"
COG2262,9.0,common,GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis
COG0330,9.0,common,HflC and HflK could encode or regulate a protease
COG0104,9.0,common,Plays an important role in the de novo pathway of purine nucleotide biosynthesis. Catalyzes the first committed step in the biosynthesis of AMP from IMP
COG5002,9.0,common,"HAMP (Histidine kinases, Adenylyl cyclases, Methyl binding proteins, Phosphatases) domain"
COG0792,9.0,common,nuclease activity
COG0593,9.0,common,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids
COG2146,9.0,common,Rieske [2Fe-2S] domain
COG0546,9.0,common,Phosphoglycolate phosphatase
COG4589,9.0,common,Phosphatidate cytidylyltransferase
COG0473,9.0,common,Catalyzes the oxidation of 3-carboxy-2-hydroxy-4- methylpentanoate (3-isopropylmalate) to 3-carboxy-4-methyl-2- oxopentanoate. The product decarboxylates to 4-methyl-2 oxopentanoate
COG2807,9.0,common,MFS transporter
COG0756,9.0,common,"This enzyme is involved in nucleotide metabolism it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA"
COG0614,9.0,common,"abc-type fe3 -hydroxamate transport system, periplasmic component"
COG1280,9.0,common,LysE type translocator
2C1VH,9.0,common,3-deoxy-D-manno-oct-2-ulosonic acid (Kdo) hydroxylase
COG2377,9.0,common,"Catalyzes the specific phosphorylation of 1,6-anhydro-N- acetylmuramic acid (anhMurNAc) with the simultaneous cleavage of the 1,6-anhydro ring, generating MurNAc-6-P. Is required for the utilization of anhMurNAc either imported from the medium or derived from its own cell wall murein, and thus plays a role in cell wall recycling"
COG4108,9.0,common,"Increases the formation of ribosomal termination complexes and stimulates activities of RF-1 and RF-2. It binds guanine nucleotides and has strong preference for UGA stop codons. It may interact directly with the ribosome. The stimulation of RF- 1 and RF-2 is significantly reduced by GTP and GDP, but not by GMP"
COG0589,9.0,common,Universal stress protein family
COG0841,9.0,common,Efflux pump membrane transporter
COG1846,9.0,common,DNA-binding transcription factor activity
COG2386,9.0,common,Required for the export of heme to the periplasm for the biogenesis of c-type cytochromes
COG4133,9.0,common,"once thought to export heme, this seems not to be the case, but its exact role is uncertain. Responsible for energy coupling to the transport system"
COG0526,9.0,common,Thiol disulfide interchange protein
COG2332,9.0,common,Heme chaperone required for the biogenesis of c-type cytochromes. Transiently binds heme delivered by CcmC and transfers the heme to apo-cytochromes in a process facilitated by CcmF and CcmH
COG0755,9.0,common,Required for the export of heme to the periplasm for the biogenesis of c-type cytochromes
COG0609,9.0,common,FecCD transport family
COG0621,9.0,common,"Catalyzes the methylthiolation of N6- (dimethylallyl)adenosine (i(6)A), leading to the formation of 2- methylthio-N6-(dimethylallyl)adenosine (ms(2)i(6)A) at position 37 in tRNAs that read codons beginning with uridine"
COG0260,9.0,common,Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N-terminal amino acids from various peptides
COG1671,9.0,common,Belongs to the UPF0178 family
COG0695,9.0,common,Glutaredoxin
COG1295,9.0,common,UPF0761 membrane protein
COG2983,9.0,common,Putative zinc- or iron-chelating domain
COG1289,9.0,common,Fusaric acid resistance protein-like
COG0812,9.0,common,Cell wall formation
COG2854,9.0,common,ABC-type transport system involved in resistance to organic solvents auxiliary component
COG1686,9.0,common,Belongs to the peptidase S11 family
COG0743,9.0,common,Catalyzes the NADP-dependent rearrangement and reduction of 1-deoxy-D-xylulose-5-phosphate (DXP) to 2-C-methyl-D-erythritol 4-phosphate (MEP)
COG0020,9.0,common,"Catalyzes the sequential condensation of isopentenyl diphosphate (IPP) with (2E,6E)-farnesyl diphosphate (E,E-FPP) to yield (2Z,6Z,10Z,14Z,18Z,22Z,26Z,30Z,34E,38E)-undecaprenyl diphosphate (di-trans,octa-cis-UPP). UPP is the precursor of glycosyl carrier lipid in the biosynthesis of bacterial cell wall polysaccharide components such as peptidoglycan and lipopolysaccharide"
COG0233,9.0,common,Responsible for the release of ribosomes from messenger RNA at the termination of protein biosynthesis. May increase the efficiency of translation by recycling ribosomes from one round of translation to another
COG0528,9.0,common,Catalyzes the reversible phosphorylation of UMP to UDP
COG0565,9.0,common,Catalyzes the formation of 2'O-methylated cytidine (Cm32) or 2'O-methylated uridine (Um32) at position 32 in tRNA
COG1045,9.0,common,Bacterial transferase hexapeptide (six repeats)
COG1196,9.0,common,nuclear chromosome segregation
COG1959,9.0,common,transcriptional regulator
COG0586,9.0,common,LssY C-terminus
COG1136,9.0,common,Part of the ABC transporter complex LolCDE involved in the translocation of
COG4591,9.0,common,Lipoprotein releasing system transmembrane protein
COG1386,9.0,common,Participates in chromosomal partition during cell division. May act via the formation of a condensin-like complex containing Smc and ScpA that pull DNA away from mid-cell into both cell halves
COG0162,9.0,common,Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr)
COG0172,9.0,common,"Catalyzes the attachment of serine to tRNA(Ser). Is also able to aminoacylate tRNA(Sec) with serine, to form the misacylated tRNA L-seryl-tRNA(Sec), which will be further converted into selenocysteinyl-tRNA(Sec)"
COG0143,9.0,common,Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation
COG0245,9.0,common,"Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4- diphosphocytidyl-2-C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP)"
COG1211,9.0,common,Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP)
COG0577,9.0,common,"Part of the tripartite efflux system MacAB-TolC. MacB is a non-canonical ABC transporter that contains transmembrane domains (TMD), which form a pore in the inner membrane, and an ATP-binding domain (NBD), which is responsible for energy generation. Confers resistance against macrolides"
COG4775,9.0,common,"Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane"
COG0616,9.0,common,Peptidase family S49 N-terminal
COG0606,9.0,common,"Among the AAA ATPases, the YifB protease family belongs to the Helix 2 insert clade"
COG1611,9.0,common,Possible lysine decarboxylase
COG0471,9.0,common,Sodium:sulfate symporter transmembrane region
COG0772,9.0,common,Peptidoglycan polymerase that is essential for cell wall elongation
COG0768,9.0,common,Catalyzes cross-linking of the peptidoglycan cell wall
COG0002,9.0,common,Catalyzes the NADPH-dependent reduction of N-acetyl-5- glutamyl phosphate to yield N-acetyl-L-glutamate 5-semialdehyde
COG0658,9.0,common,DNA internalization-related competence protein ComEC Rec2
COG0348,9.0,common,"IG-like fold at C-terminal of FixG, putative oxidoreductase"
COG5456,9.0,common,YtkA-like
COG3197,9.0,common,Cytochrome oxidase maturation protein
COG0125,9.0,common,Phosphorylation of dTMP to form dTDP in both de novo and salvage pathways of dTTP synthesis
COG1559,9.0,common,Functions as a peptidoglycan terminase that cleaves nascent peptidoglycan strands endolytically to terminate their elongation
COG0236,9.0,common,Carrier of the growing fatty acid chain in fatty acid biosynthesis
COG3071,9.0,common,HemY protein
COG1587,9.0,common,enzyme of heme biosynthesis
COG0181,9.0,common,Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps
COG0283,9.0,common,Belongs to the cytidylate kinase family. Type 1 subfamily
COG0539,9.0,common,thus facilitating recognition of the initiation point. It is needed to translate mRNA with a short Shine-Dalgarno (SD) purine-rich sequence
COG1200,9.0,common,Critical role in recombination and DNA repair. Helps process Holliday junction intermediates to mature products by catalyzing branch migration. Has a DNA unwinding activity characteristic of a DNA helicase with a 3'- to 5'- polarity. Unwinds branched duplex DNA (Y-DNA)
COG0266,9.0,common,"Involved in base excision repair of DNA damaged by oxidation or by mutagenic agents. Acts as DNA glycosylase that recognizes and removes damaged bases. Has a preference for oxidized purines, such as 7,8-dihydro-8-oxoguanine (8-oxoG). Has AP (apurinic apyrimidinic) lyase activity and introduces nicks in the DNA strand. Cleaves the DNA backbone by beta-delta elimination to generate a single-strand break at the site of the removed base with both 3'- and 5'-phosphates"
COG3122,9.0,common,Uncharacterized protein conserved in bacteria (DUF2058)
COG0111,9.0,common,Belongs to the D-isomer specific 2-hydroxyacid dehydrogenase family
COG0834,9.0,common,ABC-type amino acid transport signal transduction systems periplasmic component domain
COG0538,9.0,common,Isocitrate/isopropylmalate dehydrogenase
COG0130,9.0,common,Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs
COG0858,9.0,common,One of several proteins that assist in the late maturation steps of the functional core of the 30S ribosomal subunit. Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Required for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA
COG0532,9.0,common,One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex
COG0008,9.0,common,glutaminyl-tRNA synthetase
COG4215,9.0,common,Binding-protein-dependent transport system inner membrane component
COG4160,9.0,common,Binding-protein-dependent transport system inner membrane component
COG0358,9.0,common,RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication
COG0147,9.0,common,"Part of a heterotetrameric complex that catalyzes the two-step biosynthesis of anthranilate, an intermediate in the biosynthesis of L-tryptophan. In the first step, the glutamine- binding beta subunit (TrpG) of anthranilate synthase (AS) provides the glutamine amidotransferase activity which generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by the large alpha subunit of AS (TrpE) to produce anthranilate. In the absence of TrpG, TrpE can synthesize anthranilate directly from chorismate and high concentrations of ammonia"
COG0670,9.0,common,Inhibitor of apoptosis-promoting Bax1
COG0770,9.0,common,"Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein"
COG0223,9.0,common,Attaches a formyl group to the free amino group of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by promoting its recognition by IF2 and preventing the misappropriation of this tRNA by the elongation apparatus
COG0126,9.0,common,Belongs to the phosphoglycerate kinase family
COG0687,9.0,common,Required for the activity of the bacterial periplasmic transport system of putrescine
COG0661,9.0,common,Is probably a protein kinase regulator of UbiI activity which is involved in aerobic coenzyme Q (ubiquinone) biosynthesis
COG0262,9.0,common,"Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis"
COG1573,9.0,common,deaminated base DNA N-glycosylase activity
COG1589,9.0,common,"Essential cell division protein. May link together the upstream cell division proteins, which are predominantly cytoplasmic, with the downstream cell division proteins, which are predominantly periplasmic. May control correct divisome assembly"
COG1181,9.0,common,Belongs to the D-alanine--D-alanine ligase family
COG0773,9.0,common,Belongs to the MurCDEF family
COG0707,9.0,common,Cell wall formation. Catalyzes the transfer of a GlcNAc subunit on undecaprenyl-pyrophosphoryl-MurNAc-pentapeptide (lipid intermediate I) to form undecaprenyl-pyrophosphoryl-MurNAc- (pentapeptide)GlcNAc (lipid intermediate II)
COG0771,9.0,common,Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA)
COG2194,9.0,common,membrane
COG1932,9.0,common,Catalyzes the reversible conversion of 3- phosphohydroxypyruvate to phosphoserine and of 3-hydroxy-2-oxo-4- phosphonooxybutanoate to phosphohydroxythreonine
